id;titre;description;localisation;salaire;date_publication;date_expiration;is_active
1;selon turquoise trop;gigantesque meuh espérer;sale;8201.11;2025-07-27T03:25:27;2025-07-27T06:08:45;false
2;parce que;à condition que;guère triompher puisque;18900.1;2025-07-27T00:10:26;2025-07-27T22:01:50;true
3;ha corps enseignant;gens;fourbe;22455.15;2025-07-27T04:17:32;2025-07-27T07:43:48;false
4;envisager gigantesque après-demain;amorphe compter;ronron ferme;23327.99;2025-07-27T19:53:53;2025-07-27T13:45:55;true
5;quand;près subito sage;fourbe;28025.41;2025-07-27T11:59:50;2025-07-27T17:21:12;true
6;de peur que substituer nonobstant;par de façon à mettre;snif;27196.18;2025-07-27T03:01:06;2025-07-27T07:12:53;true
7;ordonner;auprès de;charitable;14508.09;2025-07-27T07:31:47;2025-07-27T02:56:51;true
8;sans engloutir;secouriste;assassiner après que;18292.13;2025-07-27T18:30:58;2025-07-27T15:25:29;false
9;bof;apte;d'après améliorer tarder;21906.69;2025-07-27T22:05:05;2025-07-27T05:20:27;true
10;grossir;à moins de altruiste;concernant deviner lors de;25051.44;2025-07-27T08:54:10;2025-07-27T03:02:42;true
